Measure,M_A,SD_A,M_B,SD_B,M_C,SD_C
AI Follow Rate (0-1),0.653,0.147,0.583,0.159,0.509,0.164
Calibration Score,0.057,0.303,0.047,0.335,0.111,0.283
AI Errors Caught (0-3),1.04,0.797,1.335,0.816,1.8,0.813
Trust in Automation (1-7),4.615,0.688,4.288,0.725,3.943,0.633
Perceived Fairness (1-7),4.087,0.924,4.656,0.936,5.289,0.839
Appeal Intent (1-5),2.342,0.929,3.018,1.007,3.927,0.949
Re-trust Intent (1-5),3.079,0.854,3.472,0.946,3.151,0.976
Mental Model Estimate (%),63.455,11.679,70.312,12.464,73.337,11.975
Avg Confidence (1-5),2.988,0.267,3.094,0.26,3.25,0.27
Avg Response Time (ms),14767.713,1640.81,16195.394,1622.072,19319.117,1555.652
