Measure,M_A,SD_A,M_B,SD_B,M_C,SD_C,F,p,eta2,omega2,sig
AI Follow Rate (0-1),0.653,0.147,0.583,0.159,0.509,0.164,43.15,<.001,0.122,0.119,***
Calibration Score,0.057,0.303,0.047,0.335,0.111,0.283,2.6,0.075,0.008,0.005,ns
AI Errors Caught (0-3),1.04,0.797,1.335,0.816,1.8,0.813,45.78,<.001,0.128,0.125,***
Trust in Automation (1-7),4.615,0.688,4.288,0.725,3.943,0.633,49.16,<.001,0.136,0.134,***
Perceived Fairness (1-7),4.087,0.924,4.656,0.936,5.289,0.839,90.73,<.001,0.226,0.223,***
Appeal Intent (1-5),2.342,0.929,3.018,1.007,3.927,0.949,138.88,<.001,0.309,0.306,***
Re-trust Intent (1-5),3.079,0.854,3.472,0.946,3.151,0.976,10.82,<.001,0.034,0.03,***
Mental Model Estimate (%),63.455,11.679,70.312,12.464,73.337,11.975,35.91,<.001,0.104,0.1,***
Avg Confidence (1-5),2.988,0.267,3.094,0.26,3.25,0.27,50.19,<.001,0.139,0.136,***
Avg Response Time (ms),14767.713,1640.81,16195.394,1622.072,19319.117,1555.652,428.76,<.001,0.58,0.578,***
