Measure,A,B,mean_A,mean_B,diff,se,T,p_tukey,hedges
AI Follow Rate,A_no_explanation,B_surface,0.6552238805970149,0.5905829596412555,0.06464092095575935,0.015756551530340154,4.102478948600492,0.00013678126526994738,0.42500688824686517
AI Follow Rate,A_no_explanation,C_counterfactual,0.6552238805970149,0.5024271844660194,0.15279669613099545,0.016061802143634788,9.513048085425957,0.0,0.9268635348914476
AI Follow Rate,B_surface,C_counterfactual,0.5905829596412555,0.5024271844660194,0.0881557751752361,0.01565565745593697,5.630921309012512,8.110967220087417e-08,0.5202148606878773
Calibration Score,A_no_explanation,B_surface,0.046024875621890546,0.02000896860986547,0.026015907012025077,0.02097928490764466,1.2400759666763053,0.42999283768971974,0.12454161698648263
Calibration Score,A_no_explanation,C_counterfactual,0.046024875621890546,0.00019417475728155344,0.04583070086460899,0.021385715183470582,2.143052054673972,0.08216231682255293,0.20237255978858698
Calibration Score,B_surface,C_counterfactual,0.02000896860986547,0.00019417475728155344,0.019814793852583917,0.020844948055553536,0.9505801501532087,0.6084465301140816,0.09303133430593404
AI Errors Caught,A_no_explanation,B_surface,1.0497512437810945,1.3542600896860986,-0.30450884590500404,0.07935413746766036,-3.8373405045086937,0.000402165177203484,-0.37416065323174474
AI Errors Caught,A_no_explanation,C_counterfactual,1.0497512437810945,1.7475728155339805,-0.697821571752886,0.08089145983688738,-8.62664084886093,0.0,-0.878877020052695
AI Errors Caught,B_surface,C_counterfactual,1.3542600896860986,1.7475728155339805,-0.3933127258478819,0.07884600837390238,-4.988365726552955,2.359890425740474e-06,-0.4669448902865582
Trust in Automation,A_no_explanation,B_surface,4.633034825870647,4.2898206278026905,0.3432141980679564,0.06611184118632918,5.191417935262819,8.449118649167531e-07,0.5046493784166447
Trust in Automation,A_no_explanation,C_counterfactual,4.633034825870647,3.912233009708738,0.720801816161909,0.06739262144013697,10.69555985149172,0.0,1.0429758401102713
Trust in Automation,B_surface,C_counterfactual,4.2898206278026905,3.912233009708738,0.3775876180939526,0.06568850661272396,5.748153483227663,4.2236961372843496e-08,0.561815620426091
Perceived Fairness,A_no_explanation,B_surface,4.113383084577114,4.564484304932735,-0.4511012203556213,0.08616122719308768,-5.235547763783605,6.727190760003054e-07,-0.49103510806681105
Perceived Fairness,A_no_explanation,C_counterfactual,4.113383084577114,5.330291262135922,-1.2169081775588078,0.08783042285384282,-13.855201170827161,0.0,-1.40097899569235
Perceived Fairness,B_surface,C_counterfactual,4.564484304932735,5.330291262135922,-0.7658069572031865,0.0856095101977572,-8.945349125747587,0.0,-0.8764972175212015
Appeal Intent,A_no_explanation,B_surface,2.5024875621890548,3.0538116591928253,-0.5513240970037705,0.09610525135126766,-5.73666984115846,4.5047542585052724e-08,-0.5586099046010471
Appeal Intent,A_no_explanation,C_counterfactual,2.5024875621890548,3.7864077669902914,-1.2839202048012366,0.09796709192338277,-13.105627406041139,0.0,-1.2913824333837562
Appeal Intent,B_surface,C_counterfactual,3.0538116591928253,3.7864077669902914,-0.7325961077974661,0.09548985969264867,-7.671978052491215,6.850076061937216e-14,-0.7409532577457647
Re-trust Intent,A_no_explanation,B_surface,3.2786069651741294,3.4618834080717487,-0.18327644289761924,0.09163534161785905,-2.0000628541542973,0.11301597668243246,-0.19183321400839143
Re-trust Intent,A_no_explanation,C_counterfactual,3.2786069651741294,3.0776699029126213,0.2009370622615081,0.09341058692927469,2.1511165796832694,0.08064764317703021,0.2185274569945691
Re-trust Intent,B_surface,C_counterfactual,3.4618834080717487,3.0776699029126213,0.38421350515912733,0.09104857217421836,4.219874029698651,8.313670987092348e-05,0.40225755966190047
