scenario,A_no_explanation,B_surface,C_counterfactual
1,0.7079207920792079,0.6009174311926605,0.6
2,0.6732673267326733,0.6192660550458715,0.5609756097560976
3,0.6435643564356436,0.536697247706422,0.3463414634146341
4,0.6485148514851485,0.5779816513761468,0.5219512195121951
5,0.6336633663366337,0.5779816513761468,0.5365853658536586
6,0.6237623762376238,0.5412844036697247,0.5414634146341464
7,0.6633663366336634,0.5412844036697247,0.4146341463414634
8,0.6336633663366337,0.6238532110091743,0.5560975609756098
9,0.6534653465346535,0.6284403669724771,0.5756097560975609
10,0.6534653465346535,0.5871559633027523,0.43902439024390244
